"name","pop","location"
"Saharanpur","484873","https://www.google.com/maps/?q=29.9679,77.5452"
"Gulbarga","483615","https://www.google.com/maps/?q=17.3358,76.8376"
"Bhatpara","483129","https://www.google.com/maps/?q=22.8664,88.4011"
"Jammu","465567","https://www.google.com/maps/?q=32.7357,74.8691"
"Kurnool","460184","https://www.google.com/maps/?q=15.8289,78.036"
"Ujjain","457346","https://www.google.com/maps/?q=23.1824,75.7764"
"Ramgundam","452261","https://www.google.com/maps/?q=18.8008,79.4521"
"Shyamnagar","441956","https://www.google.com/maps/?q=22.8333,88.3667"
"Nangi","440894","https://www.google.com/maps/?q=22.5083,88.2153"
"Kozhikode","439922","https://www.google.com/maps/?q=11.248,75.7804"
"Malegaon","435362","https://www.google.com/maps/?q=20.5497,74.5346"
"Davangere","435128","https://www.google.com/maps/?q=14.4669,75.9269"
"Jalgaon","429298","https://www.google.com/maps/?q=21.0029,75.566"
"Akola","428857","https://www.google.com/maps/?q=20.7096,76.9981"
"Belgaum","428720","https://www.google.com/maps/?q=15.8521,74.5045"
"Gaya","423692","https://www.google.com/maps/?q=24.7969,85.0039"
"Udaipur","422784","https://www.google.com/maps/?q=24.5858,73.7135"
"Korba","419146","https://www.google.com/maps/?q=22.3458,82.6963"
"Bokaro","418533","https://www.google.com/maps/?q=23.7871,85.9564"
"Mangalore","417387","https://www.google.com/maps/?q=12.9172,74.856"
"Jhansi","412927","https://www.google.com/maps/?q=25.4589,78.5799"
"Thoothukudi","410760","https://www.google.com/maps/?q=8.76735,78.1342"
"Nellore","404158","https://www.google.com/maps/?q=14.4499,79.987"
"Tiruppur","397521","https://www.google.com/maps/?q=11.1154,77.3546"
"Kollam","394163","https://www.google.com/maps/?q=8.88113,76.5847"
"Panihati","378705","https://www.google.com/maps/?q=22.6909,88.374"
"Ahmadnagar","367140","https://www.google.com/maps/?q=19.0946,74.7384"
"Dhulia","366980","https://www.google.com/maps/?q=20.9013,74.7774"
"Bhagalpur","361548","https://www.google.com/maps/?q=25.2445,86.9718"
"Punasa","350000","https://www.google.com/maps/?q=22.2351,76.3933"
"Muzaffarnagar","349706","https://www.google.com/maps/?q=29.4709,77.7033"
"Latur","348967","https://www.google.com/maps/?q=18.3972,76.5678"
"Kukatpalli","341709","https://www.google.com/maps/?q=17.4849,78.4138"
"Ambattur","341049","https://www.google.com/maps/?q=13.0982,80.1615"
"Bellary","336681","https://www.google.com/maps/?q=15.142,76.924"
"Muzaffarpur","333200","https://www.google.com/maps/?q=26.1226,85.3905"
"Kamarhati","332965","https://www.google.com/maps/?q=22.6711,88.3747"
"Mathura","330511","https://www.google.com/maps/?q=27.5035,77.6721"
"Patiala","329224","https://www.google.com/maps/?q=30.3363,76.3922"
"Chanda","328351","https://www.google.com/maps/?q=19.9508,79.2952"
"Bhilwara","326431","https://www.google.com/maps/?q=25.3471,74.6408"
"Trichur","325110","https://www.google.com/maps/?q=10.5167,76.2167"
"Brahmapur","324726","https://www.google.com/maps/?q=19.3115,84.7929"
"Shahjanpur","320434","https://www.google.com/maps/?q=27.8817,79.9092"
"Shimoga","319550","https://www.google.com/maps/?q=13.9316,75.5679"
"New Delhi","317797","https://www.google.com/maps/?q=28.6358,77.2244"
"Rohtak","317245","https://www.google.com/maps/?q=28.8945,76.5892"
"Tumkur","307359","https://www.google.com/maps/?q=13.3414,77.1022"
"Firozabad","306409","https://www.google.com/maps/?q=27.1509,78.3978"
"Nizamabad","305438","https://www.google.com/maps/?q=18.6715,78.0988"
"Kulti","305405","https://www.google.com/maps/?q=23.7317,86.8437"
"Rajahmundry","304804","https://www.google.com/maps/?q=17.0052,81.7778"
"Barddhaman","301725","https://www.google.com/maps/?q=23.2557,87.8569"
"Barasat","298127","https://www.google.com/maps/?q=22.7215,88.482"
"Bali","296973","https://www.google.com/maps/?q=22.6486,88.3411"
"Hisar","296436","https://www.google.com/maps/?q=29.1539,75.7229"
"Rampur","296418","https://www.google.com/maps/?q=28.8101,79.027"
"Noida","293908","https://www.google.com/maps/?q=28.58,77.33"
"Greater Noida","293908","https://www.google.com/maps/?q=28.4961,77.536"
"Kakinada","292923","https://www.google.com/maps/?q=16.9604,82.2381"
"Panipat","292808","https://www.google.com/maps/?q=29.3875,76.9682"
"Parbhani","289629","https://www.google.com/maps/?q=19.2686,76.7708"
"Darbhanga","287150","https://www.google.com/maps/?q=26.1522,85.8971"
"Alwar","283228","https://www.google.com/maps/?q=27.5625,76.625"
"Bilaspur","282705","https://www.google.com/maps/?q=22.08,82.1554"
"Ichalkaranji","274383","https://www.google.com/maps/?q=16.6912,74.4605"
"Bijapur","271064","https://www.google.com/maps/?q=16.8244,75.7154"
"Aizawl","265331","https://www.google.com/maps/?q=23.7289,92.7179"
"Jalna","262034","https://www.google.com/maps/?q=19.841,75.8864"
"Lal Bahadur Nagar","261987","https://www.google.com/maps/?q=17.3477,78.5576"
"Dewas","261218","https://www.google.com/maps/?q=22.9659,76.0553"
"Baranagar","260072","https://www.google.com/maps/?q=22.6413,88.3773"
"Gajuwaka","258944","https://www.google.com/maps/?q=17.7,83.2167"
"Satna","257778","https://www.google.com/maps/?q=24.5773,80.8272"
"Etawah","257448","https://www.google.com/maps/?q=26.7761,79.0213"
"Durg","255283","https://www.google.com/maps/?q=21.1915,81.2762"
"Naihati","253221","https://www.google.com/maps/?q=22.894,88.4152"
"Tirupati","250821","https://www.google.com/maps/?q=13.6355,79.4199"
"Sonipat","250521","https://www.google.com/maps/?q=28.9948,77.0194"
"Avadi","250044","https://www.google.com/maps/?q=13.1147,80.1098"
"Tiruvottiyur","248059","https://www.google.com/maps/?q=13.1582,80.3018"
"Saugor","247333","https://www.google.com/maps/?q=23.8388,78.7387"
"Mau","246050","https://www.google.com/maps/?q=25.9417,83.5611"
"Bihar Sharif","244230","https://www.google.com/maps/?q=25.2008,85.5239"
"Hapur","242920","https://www.google.com/maps/?q=28.7299,77.7807"
"Bathinda","242800","https://www.google.com/maps/?q=30.2075,74.9389"
"Farrukhabad","241152","https://www.google.com/maps/?q=27.3913,79.5793"
"Anantapur","240442","https://www.google.com/maps/?q=14.6778,77.6081"
"Barasat","237783","https://www.google.com/maps/?q=22.2252,88.4509"
"Ratlam","236843","https://www.google.com/maps/?q=23.3303,75.0403"
"Ramagundam","235000","https://www.google.com/maps/?q=18.755,79.474"
"Ganganagar","231838","https://www.google.com/maps/?q=29.9201,73.875"
"Bharatpur","229384","https://www.google.com/maps/?q=27.2173,77.4901"
"Karimnagar","228745","https://www.google.com/maps/?q=18.4391,79.1286"
"Puducherry","227411","https://www.google.com/maps/?q=11.9338,79.8298"
"Shrirampur","226317","https://www.google.com/maps/?q=22.7528,88.3422"
"Raichur","225962","https://www.google.com/maps/?q=16.2055,77.3557"
